Phase,FileName,CC,MSE,SSIM
phase1-2,phase1-2_input0057-modality0-WarpedToTemplate.nii.gz,0.9734299285050582,0.01232405856467415,0.896515310393189
phase1-2,phase1-2_input0001-modality0-WarpedToTemplate.nii.gz,0.9732739686573009,0.006607621066011321,0.9150729194999199
phase1-2,phase1-2_input0063-modality0-WarpedToTemplate.nii.gz,0.9737250114726561,0.02470947273229834,0.8483010541379776
phase1-2,phase1-2_input0010-modality0-WarpedToTemplate.nii.gz,0.9719616139340875,0.021988670791055546,0.8623234883887084
phase1-2,phase1-2_input0072-modality0-WarpedToTemplate.nii.gz,0.9753685532887876,0.01968435968620715,0.870580981283601
phase1-2,phase1-2_input0088-modality0-WarpedToTemplate.nii.gz,0.9748232381470432,0.014958317584975022,0.8881597343966382
phase1-2,phase1-2_input0029-modality0-WarpedToTemplate.nii.gz,0.9721304943279292,0.012823874022406437,0.8926781097194949
phase1-2,phase1-2_input0038-modality0-WarpedToTemplate.nii.gz,0.9640894265314408,0.006926732940540765,0.9072471089189211
phase1-2,phase1-2_input0058-modality0-WarpedToTemplate.nii.gz,0.9693189149240515,0.01597059122959703,0.8772417396558863
phase1-2,phase1-2_input0049-modality0-WarpedToTemplate.nii.gz,0.9743115069620859,0.012596782138003759,0.8962431123338354
phase1-2,phase1-2_input0012-modality0-WarpedToTemplate.nii.gz,0.9728482707105107,0.013718872097066393,0.8909370671628241
phase1-2,phase1-2_input0070-modality0-WarpedToTemplate.nii.gz,0.9769776865184854,0.007205419907711407,0.9163998746185253
phase1-2,phase1-2_input0003-modality0-WarpedToTemplate.nii.gz,0.9692011977803682,0.015861777279800694,0.8794180148572355
phase1-2,phase1-2_input0061-modality0-WarpedToTemplate.nii.gz,0.9684070216053348,0.013216499399411963,0.8896254795341259
phase1-2,phase1-2_input0037-modality0-WarpedToTemplate.nii.gz,0.9698930905105766,0.013116898058931235,0.8946526731365803
phase1-2,phase1-2_input0055-modality0-WarpedToTemplate.nii.gz,0.9673181988066188,0.02221882030681139,0.8559702814199117
phase1-2,phase1-2_input0026-modality0-WarpedToTemplate.nii.gz,0.9733830648129495,0.017527528453350906,0.8768179414975993
phase1-2,phase1-2_input0087-modality0-WarpedToTemplate.nii.gz,0.9727057313531747,0.0158570436990123,0.8814956112353615
phase1-2,phase1-2_input0044-modality0-WarpedToTemplate.nii.gz,0.9781498167789789,0.00579031807749512,0.9185156661630954
